MemberID,Sex,YearJoined,year,Status,Age,fitness,racquets,dock,city_dining,island_dining,bar_spending,other_spending
3230,M,2003,2020,ACTIVE,41,N,N,NA,NA,NA,NA,NA
1807,F,1984,2017,ACTIVE,60,N,N,N,41,0,257,42
1807,F,1984,2020,ACTIVE,63,N,N,NA,NA,NA,NA,NA
4060,M,1999,2017,ACTIVE,40,N,N,N,2,0,0,1
4060,M,1999,2020,ACTIVE,43,N,N,NA,NA,NA,NA,NA
4053,F,1980,2017,ACTIVE,73,N,N,N,64,248,220,312
4053,F,1980,2020,ACTIVE,76,N,N,NA,NA,NA,NA,NA
1727,F,2004,2017,ACTIVE,62,Y,N,N,187,536,0,723
1727,F,2004,2020,ACTIVE,65,Y,N,NA,NA,NA,NA,NA
4196,M,1990,2017,ACTIVE,37,N,N,N,0,42,17,43
4196,M,1990,2020,ACTIVE,40,N,N,NA,NA,NA,NA,NA
3781,M,1984,2017,ACTIVE,51,N,N,N,732,238,19,970
3781,M,1984,2020,ACTIVE,54,N,N,NA,NA,NA,NA,NA
1435,M,1981,2017,ACTIVE,52,N,N,N,33,32,33,66
1435,M,1981,2020,ACTIVE,55,Y,Y,NA,NA,NA,NA,NA
804,F,2020,2017,ACTIVE,75,N,N,N,3,48,0,51
804,F,2020,2020,ACTIVE,78,Y,N,NA,NA,NA,NA,NA
3716,M,2003,2017,ACTIVE,59,N,N,Y,38,573,196,611
3716,M,2003,2020,ACTIVE,62,N,N,NA,NA,NA,NA,NA
2643,F,2008,2017,ACTIVE,57,N,N,N,0,607,152,606
2643,F,2008,2020,HOLDOVER,60,N,N,NA,NA,NA,NA,NA
1098,M,1971,2017,ACTIVE,82,N,N,Y,56,911,272,967
1098,M,1971,2020,ACTIVE,85,N,N,NA,NA,NA,NA,NA
4263,M,1993,2017,ACTIVE,50,N,N,Y,295,860,173,1156
4263,M,1993,2020,HOLDOVER,53,N,N,NA,NA,NA,NA,NA
270,F,1992,2017,ACTIVE,60,N,N,Y,84,111,334,196
270,F,1992,2020,ACTIVE,63,N,N,NA,NA,NA,NA,NA
2640,F,2004,2017,ACTIVE,87,Y,N,N,108,233,109,339
2640,F,2004,2020,ACTIVE,90,N,N,NA,NA,NA,NA,NA
1452,F,2007,2017,ACTIVE,64,N,N,Y,134,821,907,955
1452,F,2007,2020,ACTIVE,67,N,N,NA,NA,NA,NA,NA
3651,M,1992,2017,ACTIVE,65,N,N,N,56,393,26,449
3651,M,1992,2020,ACTIVE,68,N,N,NA,NA,NA,NA,NA
1589,M,1971,2017,ACTIVE,76,N,N,N,176,188,0,363
1589,M,1971,2020,ACTIVE,79,N,N,NA,NA,NA,NA,NA
